=======================================
    일성화이바 오토크레브 동작 데이터 
시작시간 =Fri Apr 20 2018:오전 8:56:20
=======================================
번호	온도	압력	진공1	진공2	진공3	진공4	진공5	진공6	진공7 
1	13.5	0.71	-6.667	-7.619	-7.143	-6.19	26.667	-8.095	
2	13.5	0.71	-6.19	-7.619	-7.143	-5.714	27.619	-7.143	
3	15.4	0.71	-6.667	-7.619	-6.667	-6.667	28.095	-7.143	
4	14.4	0.71	-7.143	-7.619	-7.619	-7.143	27.619	-8.571	
5	14.4	0.71	-7.143	-8.095	-6.667	-6.19	27.619	-8.571	
6	14.4	0.67	-7.143	-7.619	-7.619	-5.714	28.571	-8.095	
7	16.3	0.76	-6.667	-7.619	-6.667	-6.667	27.619	-8.571	
8	15.4	0.76	-6.667	-8.095	-7.619	-6.667	27.143	-7.619	
9	15.4	0.76	-6.667	-8.095	-7.143	-6.667	27.143	-7.619	
10	15.4	0.76	-6.667	-7.619	-7.619	-5.714	28.095	-8.095	
11	15.4	0.76	-6.19	-7.143	-6.667	-6.19	28.095	-8.095	
